Company Size,Industry,Revenue,Location,Employee Turnover Rate,Employee Skillset,Job Openings,Recruitment Budget,Company Age,Growth Rate,Likely to Hire
250,Technology,55000000,San Francisco,10,Python,16,63000,11,9,Yes
150,Finance,20000000,London,6,SQL,7,35000,5,7,No
280,Healthcare,8000000,Chicago,7,Java,5,38000,6,4,Yes
350,Technology,60000000,Bangalore,11,Python,20,75000,9,11,Yes
120,Finance,22000000,New York,6,Management,4,28000,6,8,No
220,Healthcare,7500000,Los Angeles,7,Python,5,37000,8,4,Yes
150,Technology,45000000,San Francisco,9,JavaScript,14,58000,7,9,Yes
170,Finance,22000000,London,6,SQL,8,40000,6,8,No
300,Healthcare,8000000,Chicago,7,Java,6,35000,8,4,Yes
250,Technology,50000000,Bangalore,12,Python,17,67000,10,12,Yes
200,Finance,18000000,New York,7,Management,5,32000,4,6,Yes
300,Healthcare,7000000,Los Angeles,8,Python,6,36000,7,3,Yes
250,Technology,55000000,San Francisco,10,Python,16,63000,11,9,Yes
150,Finance,20000000,London,6,SQL,7,35000,5,7,No
280,Healthcare,8000000,Chicago,7,Java,5,38000,6,4,Yes
350,Technology,60000000,Bangalore,11,Python,20,75000,9,11,Yes
120,Finance,22000000,New York,6,Management,4,28000,6,8,No
220,Healthcare,7500000,Los Angeles,7,Python,5,37000,8,4,Yes
150,Technology,45000000,San Francisco,9,JavaScript,14,58000,7,9,Yes
180,Finance,22000000,Kolkata,8,Management,7,33000,5,7,No
250,Healthcare,6500000,Mumbai,7,Python,6,37000,6,4,Yes
300,Technology,60000000,Delhi,11,Python,19,74000,9,11,Yes
200,Finance,20000000,Chennai,6,SQL,8,36000,4,6,Yes
280,Healthcare,8000000,Kolkata,7,Java,5,38000,6,4,Yes
350,Technology,70000000,Mumbai,12,Python,21,78000,10,12,Yes
120,Finance,25000000,Delhi,6,Management,5,29000,6,8,No
220,Healthcare,7000000,Chennai,7,Python,5,36000,8,4,Yes
150,Technology,50000000,Kolkata,9,JavaScript,15,59000,7,9,Yes
170,Finance,23000000,Mumbai,6,SQL,8,41000,6,8,No
300,Healthcare,8500000,Delhi,7,Java,7,36000,8,4,Yes
250,Technology,55000000,Chennai,12,Python,18,68000,10,12,Yes
200,Finance,19000000,Kolkata,7,Management,6,31000,5,7,No
300,Healthcare,7000000,Mumbai,8,Python,6,35000,7,3,Yes
250,Technology,60000000,Delhi,10,Python,17,66000,11,9,Yes
150,Finance,22000000,Chennai,6,SQL,7,35000,5,7,No
280,Healthcare,7500000,Kolkata,7,Java,5,38000,6,4,Yes
350,Technology,65000000,Mumbai,11,Python,20,77000,9,11,Yes
120,Finance,23000000,Delhi,6,Management,4,28000,6,8,No
220,Healthcare,7500000,Chennai,7,Python,5,37000,8,4,Yes
150,Technology,48000000,Kolkata,9,JavaScript,14,57000,7,9,Yes
180,Food_and_Beverage,15000000,Kolkata,8,Chef,7,33000,5,7,Yes
250,Security,7000000,Mumbai,7,Security Guard,6,37000,6,4,No
300,Analyst,60000000,Delhi,11,Data Analysis,19,74000,9,11,Yes
200,Food_and_Beverage,20000000,Chennai,6,Chef,8,36000,4,6,Yes
280,Security,8000000,Kolkata,7,Security Guard,5,38000,6,4,No
350,Analyst,70000000,Mumbai,12,Data Analysis,21,78000,10,12,Yes
120,Food_and_Beverage,25000000,Delhi,6,Chef,5,29000,6,8,No
220,Security,7000000,Chennai,7,Security Guard,5,36000,8,4,Yes
150,Analyst,50000000,Kolkata,9,Data Analysis,15,59000,7,9,Yes
170,Food_and_Beverage,23000000,Mumbai,6,Chef,8,41000,6,8,No
300,Security,8500000,Delhi,7,Security Guard,7,36000,8,4,Yes
250,Analyst,55000000,Chennai,12,Data Analysis,18,68000,10,12,Yes
200,Food_and_Beverage,19000000,Kolkata,7,Chef,6,31000,5,7,No
300,Security,7000000,Mumbai,8,Security Guard,6,35000,7,3,Yes
250,Analyst,60000000,Delhi,10,Data Analysis,17,66000,11,9,Yes
150,Food_and_Beverage,22000000,Chennai,6,Chef,7,35000,5,7,No
280,Security,7500000,Kolkata,7,Security Guard,5,38000,6,4,Yes
350,Analyst,65000000,Mumbai,11,Data Analysis,20,77000,9,11,Yes
120,Food_and_Beverage,23000000,Delhi,6,Chef,4,28000,6,8,No
220,Security,7500000,Chennai,7,Security Guard,5,37000,8,4,Yes
150,Analyst,48000000,Kolkata,9,Data Analysis,14,57000,7,9,Yes
650,Food_and_Beverage,35000000,Paris,9,Chef,25,55000,8,10,Yes
700,Technology,75000000,Seattle,11,Frontend_Developer,30,80000,12,15,Yes
800,Finance,50000000,Hong Kong,8,Management,20,60000,10,12,Yes
620,Healthcare,6500000,Sydney,7,Java,10,40000,5,6,No
900,Security,85000000,Tokyo,12,Security Guard,35,90000,15,18,Yes
750,Analyst,60000000,Paris,10,Data Analysis,28,75000,11,14,Yes
650,Food_and_Beverage,38000000,Seattle,9,Chef,24,56000,9,11,Yes
700,Technology,77000000,Hong Kong,11,React,29,82000,13,16,Yes
800,Finance,52000000,Sydney,8,Management,21,62000,11,13,Yes
620,Healthcare,6700000,Tokyo,7,Java,11,41000,6,7,No
900,Security,87000000,Paris,12,Security Guard,36,92000,16,19,Yes
750,Analyst,62000000,Seattle,10,Data Analysis,29,78000,12,15,Yes
650,Food_and_Beverage,36000000,Hong Kong,9,Chef,26,57000,10,12,Yes
700,Technology,78000000,Sydney,11,Frontend_Developer,31,84000,14,17,Yes
800,Finance,54000000,Tokyo,8,Management,22,63000,12,14,Yes
620,Healthcare,6800000,Paris,7,Java,12,42000,7,8,No
900,Security,89000000,Seattle,12,Security Guard,37,94000,17,20,Yes
750,Analyst,64000000,Hong Kong,10,Data Analysis,30,80000,13,16,Yes
620,Food_and_Beverage,38000000,Paris,9,Chef,25,56000,8,10,Yes
700,Technology,77000000,Seattle,11,Frontend_Developer,30,82000,12,15,Yes
800,Finance,52000000,Hong Kong,8,Management,21,62000,11,13,Yes
650,Healthcare,6600000,Sydney,7,Java,10,41000,5,6,No
900,Security,87000000,Tokyo,12,Security Guard,36,92000,16,19,Yes
750,Analyst,62000000,Paris,10,Data Analysis,29,78000,12,15,Yes
650,Food_and_Beverage,36000000,Seattle,9,Chef,26,57000,10,12,Yes
700,Technology,78000000,Hong Kong,11,React,31,84000,14,17,Yes
800,Finance,54000000,Sydney,8,Management,22,63000,12,14,Yes
620,Healthcare,6700000,Tokyo,7,Java,11,42000,6,7,No
900,Security,89000000,Paris,12,Security Guard,37,94000,17,20,Yes
750,Analyst,64000000,Seattle,10,Data Analysis,30,80000,13,16,Yes
620,Food_and_Beverage,40000000,Hong Kong,9,Chef,27,58000,11,13,Yes
700,Technology,80000000,Sydney,11,Frontend_Developer,32,86000,15,18,Yes
800,Finance,56000000,Tokyo,8,Management,23,64000,13,15,Yes
650,Healthcare,6800000,Paris,7,Java,12,43000,7,8,No
900,Security,91000000,Seattle,12,Security Guard,38,96000,18,21,Yes
750,Analyst,66000000,Hong Kong,10,Data Analysis,31,82000,14,17,Yes
620,Food_and_Beverage,42000000,Sydney,9,Chef,28,59000,12,14,Yes
700,Technology,82000000,Tokyo,11,React,33,88000,16,19,Yes
800,Finance,58000000,Paris,8,Management,24,65000,14,16,Yes
650,Healthcare,7000000,Seattle,7,Java,13,44000,8,9,No
900,Security,93000000,Hong Kong,12,Security Guard,39,98000,19,22,Yes
750,Analyst,68000000,Sydney,10,Data Analysis,32,84000,15,18,Yes
620,Food_and_Beverage,44000000,Tokyo,9,Chef,29,60000,13,15,Yes
700,Technology,84000000,Paris,11,Frontend_Developer,34,90000,17,20,Yes
800,Finance,60000000,Seattle,8,Management,25,66000,15,17,Yes
650,Healthcare,7200000,Hong Kong,7,Java,14,45000,9,10,No
900,Security,95000000,Sydney,12,Security Guard,40,100000,20,23,Yes
750,Analyst,70000000,Tokyo,10,Data Analysis,33,86000,16,19,Yes
620,Food_and_Beverage,46000000,Paris,9,Chef,30,61000,14,16,Yes
700,Technology,86000000,Seattle,11,React,35,92000,18,21,Yes
800,Finance,62000000,Hong Kong,8,Management,26,67000,16,18,Yes
650,Healthcare,7400000,Sydney,7,Java,15,46000,10,11,No
900,Security,97000000,Tokyo,12,Security Guard,41,102000,21,24,Yes
750,Analyst,72000000,Paris,10,Data Analysis,34,88000,17,20,Yes
620,Food_and_Beverage,48000000,Seattle,9,Chef,31,62000,15,17,Yes
700,Technology,88000000,Hong Kong,11,Frontend_Developer,36,94000,19,22,Yes
800,Finance,64000000,Sydney,8,Management,27,68000,17,19,Yes
650,Healthcare,7600000,Tokyo,7,Java,16,47000,11,12,No
900,Security,99000000,Paris,12,Security Guard,42,104000,22,25,Yes
750,Analyst,74000000,Seattle,10,Data Analysis,35,90000,18,21,Yes
620,Food_and_Beverage,50000000,Paris,5,Chef,30,63000,14,16,Yes
700,Technology,90000000,Seattle,6,Frontend_Developer,38,96000,20,23,Yes
800,Finance,68000000,Hong Kong,4,Management,28,69000,16,18,Yes
650,Healthcare,7800000,Sydney,3,Java,17,48000,12,13,No
900,Security,101000000,Tokyo,2,Security Guard,45,106000,23,26,Yes
750,Analyst,76000000,Paris,6,Data Analysis,37,92000,19,22,Yes
620,Food_and_Beverage,52000000,Seattle,5,Chef,32,64000,16,18,Yes
700,Technology,92000000,Hong Kong,6,React,40,98000,22,25,Yes
800,Finance,70000000,Sydney,4,Management,29,70000,18,20,Yes
650,Healthcare,8000000,Tokyo,3,Java,18,49000,13,14,No
900,Security,103000000,Paris,2,Security Guard,46,108000,24,27,Yes
750,Analyst,78000000,Seattle,5,Data Analysis,38,94000,20,23,Yes
620,Food_and_Beverage,54000000,Hong Kong,4,Chef,33,65000,17,19,Yes
700,Technology,94000000,Sydney,6,Frontend_Developer,41,100000,23,26,Yes
800,Finance,72000000,Tokyo,4,Management,30,71000,19,21,Yes
650,Healthcare,8200000,Paris,3,Java,19,50000,14,15,No
900,Security,105000000,Seattle,2,Security Guard,47,110000,25,28,Yes
750,Analyst,80000000,Hong Kong,5,Data Analysis,39,96000,21,24,Yes
620,Food_and_Beverage,56000000,Sydney,4,Chef,34,66000,18,20,Yes
700,Technology,96000000,Tokyo,6,React,42,102000,24,27,Yes
800,Finance,74000000,Paris,4,Management,31,72000,20,22,Yes
650,Healthcare,8400000,Seattle,3,Java,20,51000,15,16,No
900,Security,107000000,Hong Kong,2,Security Guard,48,112000,26,29,Yes
750,Analyst,82000000,Sydney,5,Data Analysis,40,98000,22,25,Yes
620,Food_and_Beverage,58000000,Tokyo,4,Chef,35,67000,19,21,Yes
700,Technology,98000000,Paris,6,Frontend_Developer,43,104000,25,28,Yes
800,Finance,76000000,Seattle,4,Management,32,73000,21,23,Yes
650,Healthcare,8600000,Hong Kong,3,Java,21,52000,16,17,No
900,Security,109000000,Sydney,2,Security Guard,49,114000,27,30,Yes
750,Analyst,84000000,Tokyo,5,Data Analysis,41,100000,23,26,Yes
620,Food_and_Beverage,60000000,Paris,4,Chef,36,68000,20,22,Yes
700,Technology,100000000,Seattle,6,React,44,106000,26,29,Yes
800,Finance,78000000,Hong Kong,4,Management,33,74000,22,24,Yes
650,Healthcare,8800000,Sydney,3,Java,22,53000,17,18,No
900,Security,111000000,Tokyo,2,Security Guard,50,116000,28,31,Yes
750,Analyst,86000000,Paris,5,Data Analysis,42,102000,24,27,Yes
620,Food_and_Beverage,62000000,Seattle,4,Chef,37,69000,21,23,Yes
700,Technology,102000000,Hong Kong,6,Frontend_Developer,45,108000,27,30,Yes
800,Finance,80000000,Sydney,4,Management,34,75000,23,25,Yes
650,Healthcare,9000000,Tokyo,3,Java,23,54000,18,19,No
900,Security,113000000,Paris,2,Security Guard,51,118000,29,32,Yes
750,Analyst,88000000,Seattle,5,Data Analysis,43,104000,25,28,Yes
620,Food_and_Beverage,64000000,Hong Kong,4,Chef,38,70000,22,24,Yes
700,Technology,104000000,Sydney,6,React,46,110000,28,31,Yes
800,Finance,82000000,Tokyo,4,Management,35,76000,24,26,Yes
650,Healthcare,9200000,Paris,3,Java,24,55000,19,20,No
900,Security,115000000,Seattle,2,Security Guard,52,120000,30,33,Yes
750,Analyst,90000000,Hong Kong,5,Data Analysis,44,106000,26,29,Yes
620,Food_and_Beverage,45000000,Delhi,5,Chef,28,59000,13,15,Yes
700,Technology,85000000,Mumbai,6,Frontend_Developer,35,94000,18,20,Yes
800,Finance,70000000,Kolkata,4,Management,26,71000,15,17,Yes
650,Healthcare,8200000,Chennai,3,Java,15,47000,10,11,No
900,Security,110000000,Bangalore,2,Security Guard,40,102000,22,25,Yes
750,Analyst,80000000,Hyderabad,5,Data Analysis,40,96000,20,22,Yes
620,Food_and_Beverage,47000000,Ahmedabad,4,Chef,32,60000,17,19,Yes
700,Technology,87000000,Pune,6,React,38,96000,21,23,Yes
800,Finance,72000000,Jaipur,4,Management,28,72000,18,20,Yes
650,Healthcare,8400000,Lucknow,3,Java,17,49000,13,14,No
900,Security,112000000,Surat,2,Security Guard,44,104000,24,27,Yes
750,Analyst,82000000,Kanpur,5,Data Analysis,42,98000,22,25,Yes
620,Food_and_Beverage,49000000,Agra,4,Chef,34,61000,19,21,Yes
700,Technology,89000000,Indore,6,Frontend_Developer,40,98000,23,26,Yes
800,Finance,74000000,Kochi,4,Management,29,73000,19,21,Yes
650,Healthcare,8600000,Coimbatore,3,Java,18,50000,14,15,No
900,Security,114000000,Visakhapatnam,2,Security Guard,46,106000,25,28,Yes
750,Analyst,84000000,Bhopal,5,Data Analysis,44,100000,23,26,Yes
620,Food_and_Beverage,51000000,Chandigarh,4,Chef,36,62000,20,22,Yes
700,Technology,91000000,Guwahati,6,React,42,100000,24,27,Yes
800,Finance,76000000,Delhi,4,Management,30,74000,20,22,Yes
650,Healthcare,8800000,Mumbai,3,Java,19,51000,15,16,No
900,Security,116000000,Kolkata,2,Security Guard,48,108000,26,29,Yes
750,Analyst,86000000,Chennai,5,Data Analysis,46,102000,24,27,Yes
620,Food_and_Beverage,53000000,Bangalore,4,Chef,38,63000,21,23,Yes
700,Technology,93000000,Hyderabad,6,Frontend_Developer,44,104000,25,28,Yes
800,Finance,78000000,Ahmedabad,4,Management,31,75000,21,23,Yes
650,Healthcare,9000000,Pune,3,Java,20,52000,16,17,No
900,Security,118000000,Jaipur,2,Security Guard,50,110000,27,30,Yes
750,Analyst,88000000,Lucknow,5,Data Analysis,48,104000,25,28,Yes
620,Food_and_Beverage,55000000,Surat,4,Chef,40,64000,22,24,Yes
700,Technology,95000000,Kanpur,6,React,46,106000,26,29,Yes
800,Finance,80000000,Agra,4,Management,32,76000,22,24,Yes
650,Healthcare,9200000,Indore,3,Java,21,53000,17,18,No
900,Security,120000000,Kochi,2,Security Guard,52,112000,28,31,Yes
750,Analyst,90000000,Coimbatore,5,Data Analysis,50,106000,26,29,Yes
620,Food_and_Beverage,57000000,Visakhapatnam,4,Chef,42,65000,23,25,Yes
700,Technology,97000000,Bhopal,6,Frontend_Developer,48,108000,27,30,Yes
800,Finance,82000000,Chandigarh,4,Management,33,77000,23,25,Yes
650,Healthcare,9400000,Guwahati,3,Java,22,54000,18,19,No
900,Security,122000000,Delhi,2,Security Guard,54,114000,29,32,Yes
750,Analyst,92000000,Mumbai,5,Data Analysis,52,108000,27,30,Yes
620,Food_and_Beverage,59000000,Kolkata,4,Chef,44,66000,24,26,Yes
700,Technology,99000000,Chennai,6,React,50,110000,28,31,Yes
800,Finance,84000000,Bangalore,4,Management,34,78000,24,26,Yes
650,Healthcare,9600000,Hyderabad,3,Java,23,55000,18,20,No
900,Security,124000000,Ahmedabad,2,Security Guard,56,116000,30,33,Yes
750,Analyst,94000000,Pune,5,Data Analysis,54,110000,28,31,Yes
620,Food_and_Beverage,61000000,Jaipur,4,Chef,46,67000,25,27,Yes
700,Technology,101000000,Lucknow,6,Frontend_Developer,52,112000,29,32,Yes
800,Finance,86000000,Surat,4,Management,35,79000,25,27,Yes
650,Healthcare,9800000,Kanpur,3,Java,24,56000,19,21,No
900,Security,126000000,Agra,2,Security Guard,58,118000,31,34,Yes
750,Analyst,96000000,Indore,5,Data Analysis,56,112000,29,32,Yes
630,Food_and_Beverage,47000000,Delhi,5,Chef,29,60000,13,15,Yes
710,Technology,86000000,Mumbai,6,Frontend_Developer,36,95000,18,20,Yes
820,Finance,72000000,Kolkata,4,Management,27,72000,15,17,Yes
660,Healthcare,8300000,Chennai,3,Java,16,48000,10,11,No
910,Security,111000000,Bangalore,2,Security Guard,41,103000,22,25,Yes
770,Analyst,81000000,Hyderabad,5,Data Analysis,41,97000,20,22,Yes
630,Food_and_Beverage,49000000,Ahmedabad,4,Chef,33,61000,17,19,Yes
710,Technology,88000000,Pune,6,React,39,97000,21,23,Yes
820,Finance,74000000,Jaipur,4,Management,29,73000,18,20,Yes
660,Healthcare,8500000,Lucknow,3,Java,18,49000,13,14,No
910,Security,113000000,Surat,2,Security Guard,45,105000,24,27,Yes
770,Analyst,83000000,Kanpur,5,Data Analysis,43,99000,22,25,Yes
630,Food_and_Beverage,51000000,Agra,4,Chef,35,62000,19,21,Yes
710,Technology,89000000,Indore,6,Frontend_Developer,41,99000,23,26,Yes
820,Finance,76000000,Kochi,4,Management,30,74000,19,21,Yes
660,Healthcare,8700000,Coimbatore,3,Java,19,50000,14,15,No
910,Security,115000000,Visakhapatnam,2,Security Guard,47,107000,25,28,Yes
770,Analyst,84000000,Bhopal,5,Data Analysis,45,101000,23,26,Yes
630,Food_and_Beverage,53000000,Chandigarh,4,Chef,37,63000,20,22,Yes
710,Technology,91000000,Guwahati,6,React,43,101000,24,27,Yes
820,Finance,78000000,Delhi,4,Management,31,75000,20,22,Yes
660,Healthcare,8900000,Mumbai,3,Java,20,51000,15,16,No
910,Security,117000000,Kolkata,2,Security Guard,49,109000,26,29,Yes
770,Analyst,86000000,Chennai,5,Data Analysis,47,103000,24,27,Yes
630,Food_and_Beverage,55000000,Bangalore,4,Chef,39,64000,21,23,Yes
710,Technology,93000000,Hyderabad,6,Frontend_Developer,45,105000,25,28,Yes
820,Finance,80000000,Ahmedabad,4,Management,32,76000,21,23,Yes
660,Healthcare,9100000,Pune,3,Java,21,52000,16,17,No
910,Security,119000000,Jaipur,2,Security Guard,51,111000,27,30,Yes
770,Analyst,88000000,Lucknow,5,Data Analysis,49,105000,25,28,Yes
630,Food_and_Beverage,57000000,Surat,4,Chef,41,65000,22,24,Yes
710,Technology,95000000,Kanpur,6,React,47,107000,26,29,Yes
820,Finance,82000000,Agra,4,Management,33,77000,22,24,Yes
660,Healthcare,9300000,Indore,3,Java,22,53000,17,18,No
910,Security,121000000,Kochi,2,Security Guard,53,113000,28,31,Yes
770,Analyst,90000000,Coimbatore,5,Data Analysis,51,107000,27,30,Yes
630,Food_and_Beverage,59000000,Visakhapatnam,4,Chef,43,66000,23,25,Yes
710,Technology,97000000,Bhopal,6,Frontend_Developer,49,109000,27,30,Yes
820,Finance,84000000,Chandigarh,4,Management,34,78000,23,25,Yes
660,Healthcare,9500000,Guwahati,3,Java,23,54000,18,19,No
910,Security,123000000,Delhi,2,Security Guard,55,115000,29,32,Yes
770,Analyst,92000000,Mumbai,5,Data Analysis,53,109000,27,30,Yes
630,Food_and_Beverage,61000000,Kolkata,4,Chef,45,67000,24,26,Yes
710,Technology,99000000,Chennai,6,React,51,111000,28,31,Yes
820,Finance,86000000,Bangalore,4,Management,35,79000,24,26,Yes
660,Healthcare,9700000,Hyderabad,3,Java,24,55000,18,20,No
910,Security,125000000,Ahmedabad,2,Security Guard,57,117000,30,33,Yes
770,Analyst,94000000,Pune,5,Data Analysis,55,111000,28,31,Yes
620,Food_and_Beverage,45000000,Delhi,85,Chef,29,60000,13,15,Yes
710,Technology,86000000,Mumbai,83,Frontend_Developer,36,95000,18,20,Yes
820,Finance,72000000,Kolkata,82,Management,27,72000,15,17,Yes
660,Healthcare,8300000,Chennai,84,Java,16,48000,10,11,No
910,Security,111000000,Bangalore,87,Security Guard,41,103000,22,25,Yes
770,Analyst,81000000,Hyderabad,81,Data Analysis,41,97000,20,22,Yes
630,Food_and_Beverage,49000000,Ahmedabad,86,Chef,33,61000,17,19,Yes
710,Technology,88000000,Pune,83,React,39,97000,21,23,Yes
820,Finance,74000000,Jaipur,82,Management,29,73000,18,20,Yes
660,Healthcare,8500000,Lucknow,84,Java,18,49000,13,14,No
910,Security,113000000,Surat,87,Security Guard,45,105000,24,27,Yes
770,Analyst,83000000,Kanpur,81,Data Analysis,43,99000,22,25,Yes
630,Food_and_Beverage,51000000,Agra,86,Chef,35,62000,19,21,Yes
710,Technology,89000000,Indore,83,Frontend_Developer,41,99000,23,26,Yes
820,Finance,76000000,Kochi,82,Management,30,74000,19,21,Yes
660,Healthcare,8700000,Coimbatore,84,Java,19,50000,14,15,No
910,Security,115000000,Visakhapatnam,87,Security Guard,47,107000,25,28,Yes
770,Analyst,84000000,Bhopal,81,Data Analysis,45,101000,23,26,Yes
630,Food_and_Beverage,53000000,Chandigarh,86,Chef,37,63000,20,22,Yes
710,Technology,91000000,Guwahati,83,React,43,101000,24,27,Yes
820,Finance,78000000,Delhi,82,Management,31,75000,20,22,Yes
660,Healthcare,8900000,Mumbai,84,Java,20,51000,15,16,No
910,Security,117000000,Kolkata,87,Security Guard,49,109000,26,29,Yes
770,Analyst,86000000,Chennai,81,Data Analysis,47,103000,24,27,Yes
630,Food_and_Beverage,55000000,Bangalore,86,Chef,39,64000,21,23,Yes
710,Technology,93000000,Hyderabad,83,Frontend_Developer,45,105000,25,28,Yes
820,Finance,80000000,Ahmedabad,82,Management,32,76000,21,23,Yes
660,Healthcare,9100000,Pune,84,Java,21,52000,16,17,No
910,Security,119000000,Jaipur,87,Security Guard,51,111000,27,30,Yes
770,Analyst,88000000,Lucknow,81,Data Analysis,49,105000,25,28,Yes
630,Food_and_Beverage,57000000,Surat,86,Chef,41,65000,22,24,Yes
710,Technology,95000000,Kanpur,83,React,47,107000,26,29,Yes
820,Finance,82000000,Agra,82,Management,33,77000,22,24,Yes
660,Healthcare,9300000,Indore,84,Java,22,53000,17,18,No
910,Security,121000000,Kochi,87,Security Guard,53,113000,28,31,Yes
770,Analyst,90000000,Coimbatore,81,Data Analysis,51,107000,27,30,Yes
630,Food_and_Beverage,59000000,Visakhapatnam,86,Chef,43,66000,23,25,Yes
710,Technology,97000000,Bhopal,83,Frontend_Developer,49,109000,27,30,Yes
820,Finance,84000000,Chandigarh,82,Management,34,78000,23,25,Yes
660,Healthcare,9500000,Guwahati,84,Java,23,54000,18,19,No
910,Security,123000000,Delhi,87,Security Guard,55,115000,29,32,Yes
770,Analyst,92000000,Mumbai,81,Data Analysis,53,109000,27,30,Yes
630,Food_and_Beverage,61000000,Kolkata,86,Chef,45,67000,24,26,Yes
710,Technology,99000000,Chennai,83,React,51,111000,28,31,Yes
820,Finance,86000000,Bangalore,82,Management,35,79000,24,26,Yes
660,Healthcare,9700000,Hyderabad,84,Java,24,55000,18,20,No
910,Security,125000000,Ahmedabad,87,Security Guard,57,117000,30,33,Yes
770,Analyst,94000000,Pune,81,Data Analysis,55,111000,28,31,Yes
620,Food_and_Beverage,46000000,Delhi,88,Chef,30,61000,14,16,Yes
710,Technology,87000000,Mumbai,87,Frontend_Developer,37,96000,19,21,Yes
820,Finance,73000000,Kolkata,86,Management,28,73000,16,18,Yes
660,Healthcare,8400000,Chennai,89,Java,17,49000,11,12,No
910,Security,112000000,Bangalore,92,Security Guard,42,104000,23,26,Yes
